,EUR,AUD,CAD,GBP,JPY,SEK,NOK,NZD,CHF,MXN,CLP,BRL,COP,PEN,KRW,IDR,INR,THB,PHP,SGD,PLN,HUF,CZK,ZAR,TRY
2006-12-14,,,1.1573,,,,,,1.2147,,,,,,,,,,,1.5411,,,,,
2006-12-15,,,1.1577,,118.16,,,,1.2213,,,,,,,,,,,1.542,,,,,
2006-12-18,,,1.157,,118.13,,,,1.2224,,,,,,,,,,,1.5476,,,,,
2006-12-19,,,1.1529,,118.1,,,,1.2139,,,,,,,,,,,1.5423,,,,,
2006-12-20,,,1.1488,,118.43,,,,1.2178,,,,,,,,,,,1.5389,,,,,
2006-12-21,,,1.1549,,118.33,,,,1.2163,,,,,,,,,,,1.5395,,,,,
2006-12-22,,,1.1583,,118.84,,,,1.2199,,,,,,,,,,,1.5418,,,,,
2006-12-25,,,1.1573,,118.73,,,,1.219,,,,,,,,,,,1.5416,,,,,
2006-12-26,,,1.1613,,119.14,,,,1.2232,,,,,,,,,,,1.5412,,,,,
2006-12-27,,,1.1618,,118.77,,,,1.2263,,,,,,,,,,,1.5364,,,,,
2006-12-28,,,1.1604,,118.91,,,,1.2215,,,,,,,,,,,1.5341,,,,,
2006-12-29,,,1.1658,,119.05,,,,1.219,,,,,,,,,,,1.5329,,,,,
2007-01-01,,,1.1655,,119.02,,,,1.2184,,,,,,,,,,,,,,,,
2007-01-02,,,1.1652,,118.83,,,,1.2134,,,,,,,,,,,1.5305,,,,,
2007-01-03,,,1.1732,,119.36,,,,1.2261,,,,,,,,,,,1.5346,,,,,
2007-01-04,,,1.1776,,119.04,,,,1.233,,,,,,,,,,,1.5365,,,,,
2007-01-05,,,1.1726,,118.62,,,,1.2358,,,,,,,,,,,1.5362,,,,,
2007-01-08,,,1.175,,118.8,,,,1.2365,,,,,,,,,,,1.538,,,,,
2007-01-09,,,1.1767,,119.38,,,,1.2413,,,,,,,,,,,1.5364,,,,,
2007-01-10,,,1.1741,,119.67,,,,1.2465,,,,,,,,,,,1.5354,,,,,
2007-01-11,,,1.1778,,120.49,,,,1.2495,,,,,,,,,,,1.5444,,,,,
2007-01-12,,,1.1699,,120.32,,,,1.247,,,,,,,,,,,1.5422,,,,,
2007-01-15,,,1.1679,,120.43,,,,1.2487,,,,,,,,,,,1.5413,,,,,
2007-01-16,,,1.1758,,120.66,,,,1.2484,,,,,,,,,,,1.5388,,,,,
2007-01-17,,,1.1725,,120.66,,,,1.2472,,,,,,,,,,,1.5375,,,,,
2007-01-18,,,1.174,,121.21,,,,1.2468,,,,,,,,,,,1.5365,,,,,
2007-01-19,,,1.1723,,121.22,,,,1.2479,,,,,,,,,,,1.5373,,,,,
2007-01-22,,,1.1821,,121.67,,,,1.2489,,,,,,,,,,,1.5379,,,,,
2007-01-23,,,1.1804,,121.65,,,,1.2423,,,,,,,,,,,1.5345,,,,,
2007-01-24,,,1.1788,,121.19,,,,1.2476,,,,,,,,,,,1.536,,,,,
2007-01-25,,,1.183,,121.24,,,,1.2486,,,,,,,,,,,1.538,,,,,
2007-01-26,,,1.1797,,121.52,,,,1.2534,,,,,,,,,,,1.5376,,,,,
2007-01-29,,,1.1827,,121.75,,,,1.2532,,,,,,,,,,,1.539,,,,,
2007-01-30,,,1.1794,,121.63,,,,1.2514,,,,,,,,,,,1.5368,,,,,
2007-01-31,,,1.1763,,120.63,,,,1.244,,,,,,,,,,,1.5357,,,,,
2007-02-01,,,1.1783,,120.78,,,,1.2435,,,,,,,,,,,1.5339,,,,,
2007-02-02,,,1.1843,,121.1,,,,1.2479,,,,,,,,,,,1.5342,,,,,
2007-02-05,,,1.1825,,120.32,,,,1.2486,,,,,,,,,,,1.5336,,,,,
2007-02-06,,,1.1818,,120.11,,,,1.2398,,,,,,,,,,,1.5322,,,,,
2007-02-07,,,1.1844,,120.68,,,,1.2413,,,,,,,,,,,1.5317,,,,,
2007-02-08,,,1.1825,,121.03,,,,1.2459,,,,,,,,,,,1.5324,,,,,
2007-02-09,,,1.1722,,121.7,,,,1.2474,,,,,,,,,,,1.533,,,,,
2007-02-12,,,1.1754,,121.93,,,,1.2536,,,,,,,,,,,1.5401,,,,,
2007-02-13,,,1.1667,,121.16,,,,1.2468,,,,,,,,,,,1.5412,,,,,
2007-02-14,,,1.1654,,120.78,,,,1.2397,,,,,,,,,,,1.5369,,,,,
2007-02-15,,,1.1627,,119.25,,,,1.2344,,,,,,,,,,,1.5336,,,,,
2007-02-16,,,1.1628,,119.41,,,,1.2349,,,,,,,,,,,1.5306,,,,,
2007-02-19,,,1.164,,119.54,,,,1.2324,,,,,,,,,,,1.5321,,,,,
2007-02-20,,,1.1701,,120.01,,,,1.2365,,,,,,,,,,,1.5331,,,,,
2007-02-21,,,1.1597,,120.88,,,,1.2379,,,,,,,,,,,1.5337,,,,,
2007-02-22,,,1.1619,,121.56,,,,1.2381,,,,,,,,,,,1.5335,,,,,
2007-02-23,,,1.1595,,121.06,,,,1.2325,,,,,,,,,,,1.5304,,,,,
2007-02-26,,,1.1606,,120.65,,,,1.2298,,,,,,,,,,,1.5272,,,,,
2007-02-27,,,1.167,,117.92,,,,1.2178,,,,,,,,,,,1.5273,,,,,
2007-02-28,,,1.1695,,118.52,,,,1.2196,,,,,,,,,,,1.5281,,,,,
2007-03-01,,,1.1725,,117.54,,,,1.2217,,,,,,,,,,,1.5271,,,,,
2007-03-02,,,1.1773,,116.8,,,,1.2163,,,,,,,,,,,1.526,,,,,
2007-03-05,,,1.1808,,115.51,,,,1.2207,,,,,,,,,,,1.5298,,,,,
2007-03-06,,,1.1764,,116.6,,,,1.223,,,,,,,,,,,1.5285,,,,,
2007-03-07,,,1.1785,,116.01,,,,1.2174,,,,,,,,,,,1.5265,,,,,
2007-03-08,,,1.1801,,117.15,,,,1.2276,,,,,,,,,,,1.5275,,,,,
2007-03-09,,,1.1723,,118.32,,,,1.2346,,,,,,,,,,,1.5263,,,,,
2007-03-12,,,1.1718,,117.66,,,,1.2245,,,,,,,,,,,1.5262,,,,,
2007-03-13,,,1.1751,,116.28,,,,1.2177,,,,,,,,,,,1.5288,,,,,
2007-03-14,,,1.1761,,117.06,,,,1.2167,,,,,,,,,,,1.5337,,,,,
2007-03-15,,,1.177,,117.57,,,,1.2173,,,,,,,,,,,1.5332,,,,,
2007-03-16,,,1.1753,,116.73,,,,1.2069,,,,,,,,,,,1.5249,,,,,
2007-03-19,,,1.1771,,117.52,,,,1.2121,,,,,,,,,,,1.5258,,,,,
2007-03-20,,,1.1614,,117.27,,,,1.2118,,,,,,,,,,,1.5264,,,,,
2007-03-21,,,1.1555,,117.5,,,,1.2095,,,,,,,,,,,1.5207,,,,,
2007-03-22,,,1.1572,,118.13,,,,1.2143,,,,,,,,,,,1.519,,,,,
2007-03-23,,,1.1606,,118.07,,,,1.219,,,,,,,,,,,1.5168,,,,,
2007-03-26,,,1.1614,,118.11,,,,1.2155,,,,,,,,,,,1.5161,,,,,
2007-03-27,,,1.1571,,117.8,,,,1.2129,,,,,,,,,,,1.5153,,,,,
2007-03-28,,,1.1587,,116.84,,,,1.2162,,,,,,,,,,,1.518,,,,,
2007-03-29,,,1.1588,,118.06,,,,1.2176,,,,,,,,,,,1.5173,,,,,
2007-03-30,,,1.1538,,117.81,,,,1.2154,,,,,,,,,,,1.5174,,,,,
2007-04-02,,,1.1561,,117.85,,,,1.2153,,,,,,,,,,,1.5191,,,,,
2007-04-03,,,1.1585,,118.94,,,,1.2225,,,,,,,,,,,1.5197,,,,,
2007-04-04,,,1.1593,,118.7,,,,1.2199,,,,,,,,,,,1.5141,,,,,
2007-04-05,,,1.1508,,118.72,,,,1.2149,,,,,,,,,,,1.5127,,,,,
2007-04-06,,,1.1511,,119.25,,,,1.222,,,,,,,,,,,1.514,,,,,
2007-04-09,,,1.1528,,119.31,,,,1.2267,,,,,,,,,,,1.5127,,,,,
2007-04-10,,,1.1472,,119.05,,,,1.2165,,,,,,,,,,,1.5158,,,,,
2007-04-11,,,1.1393,,119.33,,,,1.2207,,,,,,,,,,,1.5179,,,,,
2007-04-12,,,1.1346,,119.15,,,,1.217,,,,,,,,,,,1.5175,,,,,
2007-04-13,,,1.1377,,119.23,,,,1.2146,,,,,,,,,,,1.5159,,,,,
2007-04-16,,,1.1315,,119.73,,,,1.2142,,,,,,,,,,,1.514,,,,,
2007-04-17,,,1.1307,,118.91,,,,1.2085,,,,,,,,,,,1.5135,,,,,
2007-04-18,,,1.1276,,118.67,,,,1.2037,,,,,,,,,,,1.5116,,,,,
2007-04-19,,,1.1294,,118.43,,,,1.2045,,,,,,,,,,,1.5112,,,,,
2007-04-20,,,1.1236,,118.67,,,,1.2084,,,,,,,,,,,1.5099,,,,,
2007-04-23,,,1.1219,,118.64,,,,1.2095,,,,,,,,,,,1.5119,,,,,
2007-04-24,,,1.1216,,118.58,,,,1.2014,,,,,,,,,,,1.5134,,,,,
2007-04-25,,,1.1148,,118.74,,,,1.2044,,,,,,,,,,,1.5139,,,,,
2007-04-26,,,1.1215,,119.58,,,,1.2086,,,,,,,,,,,1.5153,,,,,
2007-04-27,,,1.1164,,119.61,,,,1.2055,,,,,,,,,,,1.5154,,,,,
2007-04-30,,,1.1095,,119.49,,,,1.2072,,,,,,,,,,,1.5194,,,,,
2007-05-01,,,1.1108,,119.83,,,,1.2145,,,,,,,,,,,1.5197,,,,,
2007-05-02,,,1.109,,120.15,,,,1.2135,,,,,,,,,,,1.5253,,,,,
2007-05-03,,,1.1074,,120.42,,,,1.216,,,,,,,,,,,1.5226,,,,,
2007-05-04,,,1.1075,,120.18,,,,1.2113,,,,,,,,,,,1.5168,,,,,
2007-05-07,,,1.1017,,120.09,,,,1.2111,,,,,,,,,,,1.5157,,,,,
2007-05-08,,,1.1047,,120.03,,,,1.2182,,,,,,,,,,,1.5169,,,,,
2007-05-09,,,1.1048,,120.09,,,,1.2186,,,,,,,,,,,1.515,,,,,
2007-05-10,,,1.1112,,119.88,,,,1.2198,,,,,,,,,,,1.5184,,,,,
2007-05-11,,,1.1105,,120.18,,,,1.2189,,,,,,,,,,,1.5174,,,,,
2007-05-14,,,1.1057,,120.34,,,,1.2191,,,,,,,,,,,1.5154,,,,,
2007-05-15,,,1.0984,,120.26,,,,1.2153,,,,,,,,,,,1.5159,,,,,
2007-05-16,,,1.1045,,120.8,,,,1.2235,,,,,,,,,,,1.5222,,,,,
2007-05-17,,,1.0997,,121.29,,,,1.2271,,,,,,,,,,,1.524,,,,,
2007-05-18,,,1.0885,,121.11,,,,1.2271,,,,,,,,,,,1.525,,,,,
2007-05-21,,,1.0845,,121.45,,,,1.2306,,,,,,,,,,,1.5268,,,,,
2007-05-22,,,1.0863,,121.54,,,,1.2297,,,,,,,,,,,1.5312,,,,,
2007-05-23,,,1.0821,,121.65,,,,1.2277,,,,,,,,,,,1.5297,,,,,
2007-05-24,,,1.0836,,121.39,,,,1.2278,,,,,,,,,,,1.5287,,,,,
2007-05-25,,,1.08,,121.78,,,,1.2282,,,,,,,,,,,1.5272,,,,,
2007-05-28,,,1.0798,,121.71,,,,1.2286,,,,,,,,,,,1.5282,,,,,
2007-05-29,,,1.0735,,121.65,,,,1.2254,,,,,,,,,,,1.5279,,,,,
2007-05-30,,,1.074,,121.65,,,,1.2256,,,,,,,,,,,1.5294,,,,,
2007-05-31,,,1.0687,,121.72,,,,1.2252,,,,,,,,,,,1.5283,,,,,
2007-06-01,,,1.0607,,122.07,,,,1.2297,,,,,,,,,,,1.5307,,,,,
2007-06-04,,,1.0586,,121.77,,,,1.2235,,,,,,,,,,,1.5299,,,,,
2007-06-05,,,1.0632,,121.37,,,,1.218,,,,,,,,,,,1.5301,,,,,
2007-06-06,,,1.0584,,121.07,,,,1.2162,,,,,,,,,,,1.5326,,,,,
2007-06-07,,,1.0647,,120.97,,,,1.2238,,,,,,,,,,,1.5367,,,,,
2007-06-08,,,1.0606,,121.71,,,,1.2351,,,,,,,,,,,1.5398,,,,,
2007-06-11,,,1.0597,,121.71,,,,1.2381,,,,,,,,,,,1.5417,,,,,
2007-06-12,,,1.0676,,121.69,,,,1.2424,,,,,,,,,,,1.5413,,,,,
2007-06-13,,,1.066,,122.7,,,,1.2444,,,,,,,,,,,1.5421,,,,,
2007-06-14,,,1.0681,,122.91,,,,1.2462,,,,,,,,,,,1.5423,,,,,
2007-06-15,,,1.0678,,123.43,,,,1.2412,,,,,,,,,,,1.5386,,,,,
2007-06-18,,,1.0709,,123.66,,,,1.2421,,,,,,,,,,,1.5396,,,,,
2007-06-19,,,1.0624,,123.34,,,,1.2406,,,,,,,,,,,1.5365,,,,,
2007-06-20,,,1.0661,,123.56,,,,1.2372,,,,,,,,,,,1.5363,,,,,
2007-06-21,,,1.0746,,123.72,,,,1.2414,,,,,,,,,,,1.5348,,,,,
2007-06-22,,,1.0677,,123.87,,,,1.2291,,,,,,,,,,,1.5382,,,,,
2007-06-25,,,1.07,,123.66,,,,1.2284,,,,,,,,,,,1.5377,,,,,
2007-06-26,,,1.0693,,123.25,,,,1.2279,,,,,,,,,,,1.5386,,,,,
2007-06-27,,,1.0704,,122.83,,,,1.2292,,,,,,,,,,,1.538,,,,,
2007-06-28,,,1.059,,123.16,,,,1.2311,,,,,,,,,,,1.5351,,,,,
2007-06-29,,,1.0652,,123.16,,,,1.2214,,,,,,,,,,,1.5302,,,,,
2007-07-02,,,1.0556,,122.41,,,,1.2106,,,,,,,,,,,1.5231,,,,,
2007-07-03,,,1.0612,,122.44,,,,1.2157,,,,,,,,,,,1.5231,,,,,
2007-07-04,,,1.0575,,122.69,,,,1.2163,,,,,,,,,,,1.5214,,,,,
2007-07-05,,,1.0561,,122.92,,,,1.2171,,,,,,,,,,,1.5214,,,,,
2007-07-06,,,1.0493,,123.33,,,,1.2179,,,,,,,,,,,1.5203,,,,,
2007-07-09,,,1.0498,,123.39,,,,1.2166,,,,,,,,,,,1.5194,,,,,
2007-07-10,,,1.0538,,121.72,,,,1.202,,,,,,,,,,,1.5162,,,,,
2007-07-11,,,1.0543,,122.48,,,,1.2064,,,,,,,,,,,1.5157,,,,,
2007-07-12,,,1.0456,,122.41,,,,1.2029,,,,,,,,,,,1.5141,,,,,
2007-07-13,,,1.0476,,121.91,,,,1.2024,,,,,,,,,,,1.515,,,,,
2007-07-16,,,1.0437,,121.88,,,,1.2034,,,,,,,,,,,1.5165,,,,,
2007-07-17,,,1.0436,,122.32,,,,1.2028,,,,,,,,,,,1.5172,,,,,
2007-07-18,,,1.0436,,121.94,,,,1.2007,,,,,,,,,,,1.5162,,,,,
2007-07-19,,,1.0432,,122.0,,,,1.2034,,,,,,,,,,,1.5113,,,,,
2007-07-20,,,1.0486,,121.26,,,,1.2007,,,,,,,,,,,1.5113,,,,,
2007-07-23,,,1.0467,,121.09,,,,1.2059,,,,,,,,,,,1.5066,,,,,
2007-07-24,,,1.0357,,120.24,,,,1.2029,,,,,,,,,,,1.5059,,,,,
2007-07-25,,,1.0415,,120.49,,,,1.2133,,,,,,,,,,,1.5092,,,,,
2007-07-26,,,1.0534,,118.67,,,,1.2036,,,,,,,,,,,1.5153,,,,,
2007-07-27,,,1.0639,,118.6,,,,1.2084,,,,,,,,,,,1.5157,,,,,
2007-07-30,,,1.067,,119.05,,,,1.2028,,,,,,,,,,,1.5129,,,,,
2007-07-31,,,1.0664,,118.59,,,,1.2011,,,,,,,,,,,1.5162,,,,,
2007-08-01,,,1.056,,118.93,,,,1.2043,,,,,,,,,,,1.5169,,,,,
2007-08-02,,,1.0521,,119.2,,,,1.2045,,,,,,,,,,,1.5174,,,,,
2007-08-03,,,1.0567,,118.04,,,,1.1905,,,,,,,,,,,1.5167,,,,,
2007-08-06,,,1.0526,,118.86,,,,1.1915,,,,,,,,,,,1.514,,,,,
2007-08-07,,,1.0548,,118.81,,,,1.1969,,,,,,,,,,,1.5145,,,,,
2007-08-08,,,1.0485,,119.71,,,,1.1964,,,,,,,,,,,1.5102,,,,,
2007-08-09,,,1.0581,,118.15,,,,1.1963,,,,,,,,,,,1.5183,,,,,
2007-08-10,,,1.0529,,118.39,,,,1.1985,,,,,,,,,,,1.5206,,,,,
2007-08-13,,,1.0538,,118.24,,,,1.2052,,,,,,,,,,,1.5187,,,,,
2007-08-14,,,1.0671,,117.56,,,,1.2109,,,,,,,,,,,1.5284,,,,,
2007-08-15,,,1.0785,,116.6,,,,1.2191,,,,,,,,,,,1.5336,,,,,
2007-08-16,,,1.0761,,113.87,,,,1.2163,,,,,,,,,,,1.5338,,,,,
2007-08-17,,,1.0598,,114.37,,,,1.2077,,,,,,,,,,,1.5278,,,,,
2007-08-20,,,1.0551,,114.87,,,,1.2057,,,,,,,,,,,1.5281,,,,,
2007-08-21,,,1.0621,,114.42,,,,1.2061,,,,,,,,,,,1.5317,,,,,
2007-08-22,,,1.062,,115.31,,,,1.2063,,,,,,,,,,,1.5241,,,,,
2007-08-23,,,1.0527,,116.33,,,,1.2069,,,,,,,,,,,1.5199,,,,,
2007-08-24,,,1.0514,,116.1,,,,1.2009,,,,,,,,,,,1.5209,,,,,
2007-08-27,,,1.0544,,115.67,,,,1.2028,,,,,,,,,,,1.521,,,,,
2007-08-28,,,1.0651,,114.15,,,,1.2009,,,,,,,,,,,1.5279,,,,,
2007-08-29,,,1.0588,,116.12,,,,1.1992,,,,,,,,,,,1.5209,,,,,
2007-08-30,,,1.0574,,115.84,,,,1.2043,,,,,,,,,,,1.5228,,,,,
2007-08-31,,,1.0555,,115.76,,,,1.2085,,,,,,,,,,,1.525,,,,,
2007-09-03,,,1.0531,,115.93,,,,1.2087,,,,,,,,,,,1.5233,,,,,
2007-09-04,,,1.0493,,116.15,,,,1.2113,,,,,,,,,,,1.5251,,,,,
2007-09-05,,,1.0538,,115.08,,,,1.2041,,,,,,,,,,,1.5267,,,,,
2007-09-06,,,1.0514,,115.4,,,,1.2007,,,,,,,,,,,1.5228,,,,,
2007-09-07,,,1.055,,113.37,,,,1.1883,,,,,,,,,,,1.5251,,,,,
2007-09-10,,,1.0519,,113.64,,,,1.1858,,,,,,,,,,,1.5232,,,,,
2007-09-11,,,1.042,,114.31,,,,1.189,,,,,,,,,,,1.5184,,,,,
2007-09-12,,,1.0368,,114.17,,,,1.1843,,,,,,,,,,,1.5124,,,,,
2007-09-13,,,1.0362,,114.79,,,,1.186,,,,,,,,,,,1.5112,,,,,
2007-09-14,,,1.0297,,115.36,,,,1.1893,,,,,,,,,,,1.5123,,,,,
2007-09-17,,,1.0275,,115.07,,,,1.1874,,,,,,,,,,,1.5164,,,,,
2007-09-18,,,1.0137,,115.99,,,,1.1805,,,,,,,,,,,1.5084,,,,,
2007-09-19,,,1.0143,,115.89,,,,1.1835,,,,,,,,,,,1.5074,,,,,
2007-09-20,,,1.0014,,114.61,,,,1.172,,,,,,,,,,,1.5056,,,,,
2007-09-21,,,1.0006,,115.47,,,,1.1723,,,,,,,,,,,1.5049,,,,,
2007-09-24,,,1.0021,,114.9,,,,1.1733,,,,,,,,,,,1.4993,,,,,
2007-09-25,,,1.0035,,114.61,,,,1.1656,,,,,,,,,,,1.4985,,,,,
2007-09-26,,,1.0042,,115.45,,,,1.1696,,,,,,,,,,,1.4973,,,,,
2007-09-27,,,1.0014,,115.57,,,,1.1734,,,,,,,,,,,1.4899,,,,,
2007-09-28,,,0.9922,,114.79,,,,1.1639,,,,,,,,,,,1.4851,,,,,
2007-10-01,,,0.9915,,115.75,,,,1.1683,,,,,,,,,,,1.4769,,,,,
2007-10-02,,,0.9986,,115.64,,,,1.1755,,,,,,,,,,,1.4816,,,,,
2007-10-03,,,0.998,,116.68,,,,1.1803,,,,,,,,,,,1.4815,,,,,
2007-10-04,,,0.9964,,116.36,,,,1.1743,,,,,,,,,,,1.4803,,,,,
2007-10-05,,,0.9804,,116.97,,,,1.1782,,,,,,,,,,,1.472,,,,,
2007-10-08,,,0.986,,117.37,,,,1.1854,,,,,,,,,,,1.4743,,,,,
2007-10-09,,,0.9812,,117.09,,,,1.1834,,,,,,,,,,,1.4714,,,,,
2007-10-10,,,0.9817,,117.19,,,,1.1827,,,,,,,,,,,1.4661,,,,,
2007-10-11,,,0.9756,,117.3,,,,1.1814,,,,,,,,,,,1.4635,,,,,
2007-10-12,,,0.9717,,117.6,,,,1.1844,,,,,,,,,,,1.463,,,,,
2007-10-15,,,0.976,,117.42,,,,1.1799,,,,,,,,,,,1.4655,,,,,
2007-10-16,,,0.979,,116.86,,,,1.1824,,,,,,,,,,,1.4678,,,,,
2007-10-17,,,0.9738,,116.58,,,,1.1792,,,,,,,,,,,1.4657,,,,,
2007-10-18,,,0.9738,,115.6,,,,1.1703,,,,,,,,,,,1.4605,,,,,
2007-10-19,,,0.9668,,114.51,,,,1.1663,,,,,,,,,,,1.4628,,,,,
2007-10-22,,,0.9781,,114.49,,,,1.1781,,,,,,,,,,,1.464,,,,,
2007-10-23,,,0.9655,,114.69,,,,1.1728,,,,,,,,,,,1.4629,,,,,
2007-10-24,,,0.9682,,114.18,,,,1.1716,,,,,,,,,,,1.4607,,,,,
2007-10-25,,,0.9656,,114.17,,,,1.165,,,,,,,,,,,1.4553,,,,,
2007-10-26,,,0.9618,,114.17,,,,1.1641,,,,,,,,,,,1.4524,,,,,
2007-10-29,,,0.9528,,114.62,,,,1.1645,,,,,,,,,,,1.4515,,,,,
2007-10-30,,,0.9528,,114.64,,,,1.1577,,,,,,,,,,,1.4499,,,,,
2007-10-31,,,0.9429,,115.23,,,,1.1586,,,,,,,,,,,1.448,,,,,
2007-11-01,,,0.9511,,114.54,,,,1.158,,,,,,,,,,,1.4499,,,,,
2007-11-02,,,0.9345,,114.83,,,,1.1541,,,,,,,,,,,1.4487,,,,,
2007-11-05,,,0.9331,,114.52,,,,1.1537,,,,,,,,,,,1.4498,,,,,
2007-11-06,,,0.9202,,114.71,,,,1.1444,,,,,,,,,,,1.4462,,,,,
2007-11-07,,,0.9303,,112.61,,,,1.1334,,,,,,,,,,,1.4416,,,,,
2007-11-08,,,0.9348,,112.65,,,,1.1279,,,,,,,,,,,1.439,,,,,
2007-11-09,,,0.9446,,110.67,,,,1.1224,,,,,,,,,,,1.4414,,,,,
2007-11-12,,,0.9685,,109.4,,,,1.1287,,,,,,,,,,,1.455,,,,,
2007-11-13,,,0.9586,,110.92,,,,1.1274,,,,,,,,,,,1.4457,,,,,
2007-11-14,,,0.9672,,111.33,,,,1.1238,,,,,,,,,,,1.4471,,,,,
2007-11-15,,,0.9852,,110.29,,,,1.1227,,,,,,,,,,,1.4534,,,,,
2007-11-16,,,0.9734,,111.07,,,,1.1174,,,,,,,,,,,1.4508,,,,,
2007-11-19,,,0.984,,109.79,,,,1.115,,,,,,,,,,,1.4486,,,,,
2007-11-20,,,0.979,,109.98,,,,1.1057,,,,,,,,,,,1.4465,,,,,
2007-11-21,,,0.9866,,108.37,,,,1.1015,,,,,,,,,,,1.4516,,,,,
2007-11-22,,,0.9854,,108.41,,,,1.1009,,,,,,,,,,,1.4499,,,,,
2007-11-23,,,0.988,,108.26,,,,1.102,,,,,,,,,,,1.4414,,,,,
2007-11-26,,,0.9893,,107.39,,,,1.0968,,,,,,,,,,,1.4446,,,,,
2007-11-27,,,0.9961,,108.97,,,,1.1052,,,,,,,,,,,1.4417,,,,,
2007-11-28,,,0.9851,,110.03,,,,1.1107,,,,,,,,,,,1.4429,,,,,
2007-11-29,,,0.9981,,109.93,,,,1.1179,,,,,,,,,,,1.4489,,,,,
2007-11-30,,,0.9985,,111.2,,,,1.1316,,,,,,,,,,,1.4478,,,,,
2007-12-03,,,0.9997,,110.44,,,,1.1273,,,,,,,,,,,1.4504,,,,,
2007-12-04,,,1.011,,109.79,,,,1.1165,,,,,,,,,,,1.4453,,,,,
2007-12-05,,,1.0119,,110.89,,,,1.1274,,,,,,,,,,,1.4485,,,,,
2007-12-06,,,1.0082,,111.28,,,,1.1295,,,,,,,,,,,1.4438,,,,,
2007-12-07,,,1.0046,,111.65,,,,1.128,,,,,,,,,,,1.4404,,,,,
2007-12-10,,,1.0071,,111.68,,,,1.1278,,,,,,,,,,,1.4391,,,,,
2007-12-11,,,1.0147,,110.63,,,,1.131,,,,,,,,,,,1.4457,,,,,
2007-12-12,,,1.012,,112.22,,,,1.1346,,,,,,,,,,,1.4429,,,,,
2007-12-13,,,1.0206,,112.2,,,,1.1409,,,,,,,,,,,1.4407,,,,,
2007-12-14,,,1.0165,,113.26,,,,1.1528,,,,,,,,,,,1.4512,,,,,
2007-12-17,,,1.0052,,112.91,,,,1.1488,,,,,,,,,,,1.4602,,,,,
2007-12-18,,,1.0053,,113.36,,,,1.1517,,,,,,,,,,,1.4584,,,,,
2007-12-19,,,1.0022,,113.42,,,,1.155,,,,,,,,,,,1.46,,,,,
2007-12-20,,,1.0009,,113.12,,,,1.158,,,,,,,,,,,1.4612,,,,,
2007-12-21,,,0.9916,,113.97,,,,1.1553,,,,,,,,,,,1.4538,,,,,
2007-12-24,,,0.9836,,114.27,,,,1.1567,,,,,,,,,,,1.4514,,,,,
2007-12-25,,,0.9851,,114.15,,,,1.1571,,,,,,,,,,,1.4531,,,,,
2007-12-26,,,0.9812,,114.32,,,,1.1513,,,,,,,,,,,1.4533,,,,,
2007-12-27,,,0.9804,,113.69,,,,1.1387,,,,,,,,,,,1.449,,,,,
2007-12-28,,,0.9812,,112.79,,,,1.1268,,,,,,,,,,,1.4454,,,,,
2007-12-31,,,0.9981,,111.66,,,,1.1334,,,,,,,,,,,1.4409,,,,,
2008-01-01,,,0.992,,111.64,,,,1.1329,,,,,,,,,,,1.4392,,,,,
2008-01-02,,,0.9934,,109.62,,,,1.1184,,,,,,,,,,,1.438,,,,,
2008-01-03,,,0.9893,,109.28,,,,1.1109,,,,,,,,,,,1.4341,,,,,
2008-01-04,,,1.0011,,108.45,,,,1.1054,,,,,,,,,,,1.4335,,,,,
2008-01-07,,,1.0045,,109.16,,,,1.1164,,,,,,,,,,,1.4349,,,,,
2008-01-08,,,1.0071,,108.91,,,,1.1124,,,,,,,,,,,1.4319,,,,,
2008-01-09,,,1.01,,110.01,,,,1.1164,,,,,,,,,,,1.4316,,,,,
2008-01-10,,,1.0098,,109.3,,,,1.1031,,,,,,,,,,,1.4312,,,,,
2008-01-11,,,1.0188,,108.82,,,,1.1013,,,,,,,,,,,1.4335,,,,,
2008-01-14,,,1.0169,,108.16,,,,1.0929,,,,,,,,,,,1.4286,,,,,
2008-01-15,,,1.0181,,106.76,,,,1.0927,,,,,,,,,,,1.4282,,,,,
2008-01-16,,,1.0252,,107.62,,,,1.1006,,,,,,,,,,,1.4318,,,,,
2008-01-17,,,1.0287,,106.55,,,,1.1009,,,,,,,,,,,1.4372,,,,,
2008-01-18,,,1.0267,,106.82,,,,1.0992,,,,,,,,,,,1.4381,,,,,
2008-01-21,,,1.0348,,105.94,,,,1.1081,,,,,,,,,,,1.4473,,,,,
2008-01-22,,,1.0293,,106.43,,,,1.0949,,,,,,,,,,,1.4491,,,,,
2008-01-23,,,1.0234,,106.7,,,,1.0915,,,,,,,,,,,1.4299,,,,,
2008-01-24,,,1.0034,,107.14,,,,1.0878,,,,,,,,,,,1.426,,,,,
2008-01-25,,,1.0055,,107.01,,,,1.0969,,,,,,,,,,,1.4237,,,,,
2008-01-28,,,1.0042,,106.89,,,,1.089,,,,,,,,,,,1.4204,,,,,
2008-01-29,,,0.9979,,107.08,,,,1.0935,,,,,,,,,,,1.4217,,,,,
2008-01-30,,,0.9931,,106.27,,,,1.083,,,,,,,,,,,1.4178,,,,,
2008-01-31,,,1.0026,,106.41,,,,1.0816,,,,,,,,,,,1.4164,,,,,
2008-02-01,,,0.9934,,106.42,,,,1.0886,,,,,,,,,,,1.4136,,,,,
