date,duoarea,value_mmbbl,seasonal_lo,seasonal_hi,pct_of_range
2025-10-24,R50,46.482,44.935,51.892,22.2
2025-10-31,NUS,421.168,421.893,492.427,-1.0
2025-10-31,R10,8.119,7.644,10.737,15.4
2025-10-31,R20,104.511,103.694,146.595,1.9
2025-10-31,R30,237.478,241.561,261.179,-20.8
2025-10-31,R40,23.627,22.234,24.622,58.3
2025-10-31,R50,47.434,45.028,51.548,36.9
2025-11-07,NUS,427.581,427.658,489.475,-0.1
2025-11-07,R10,8.303,7.683,10.358,23.2
2025-11-07,R20,103.925,103.93,148.156,-0.0
2025-11-07,R30,243.315,242.578,260.801,4.0
2025-11-07,R40,24.51,22.767,24.622,94.0
2025-11-07,R50,47.527,45.74,51.147,33.0
2025-11-14,NUS,424.155,429.747,489.475,-9.4
2025-11-14,R10,8.436,7.683,10.274,29.1
2025-11-14,R20,102.115,106.095,148.156,-9.5
2025-11-14,R30,241.257,239.96,262.822,5.7
2025-11-14,R40,24.602,22.855,24.879,86.3
2025-11-14,R50,47.745,45.244,50.602,46.7
2025-11-21,NUS,426.929,419.084,489.475,11.1
2025-11-21,R10,7.325,7.993,10.489,-26.8
2025-11-21,R20,100.905,106.493,148.156,-13.4
2025-11-21,R30,247.021,230.132,262.822,51.7
2025-11-21,R40,24.617,23.563,25.038,71.5
2025-11-21,R50,47.062,44.561,50.602,41.4
2025-11-28,NUS,427.503,413.898,503.231,15.2
2025-11-28,R10,8.464,7.181,10.611,37.4
2025-11-28,R20,100.96,105.775,146.859,-11.7
2025-11-28,R30,246.544,226.512,273.963,42.2
2025-11-28,R40,25.004,23.563,25.038,97.7
2025-11-28,R50,46.531,44.561,50.038,36.0
2025-12-05,NUS,425.691,413.898,503.231,13.2
2025-12-05,R10,7.906,7.181,11.553,16.6
2025-12-05,R20,102.046,105.033,146.859,-7.1
2025-12-05,R30,242.806,226.512,273.963,34.3
2025-12-05,R40,25.084,23.824,24.789,130.6
2025-12-05,R50,47.85,44.561,49.939,61.2
2025-12-12,NUS,424.417,418.234,503.231,7.3
2025-12-12,R10,7.799,7.508,11.553,7.2
2025-12-12,R20,102.092,105.033,146.74,-7.1
2025-12-12,R30,241.716,230.703,273.963,25.5
2025-12-12,R40,25.195,24.114,25.076,112.4
2025-12-12,R50,47.615,45.667,50.687,38.8
2025-12-19,NUS,424.822,416.779,500.096,9.7
2025-12-19,R10,7.395,7.508,11.553,-2.8
2025-12-19,R20,104.349,103.911,146.858,1.0
2025-12-19,R30,241.062,226.538,272.147,31.8
2025-12-19,R40,24.74,24.119,25.732,38.5
2025-12-19,R50,47.277,45.667,50.687,32.1
2025-12-26,NUS,422.888,415.601,499.534,8.7
2025-12-26,R10,7.238,7.107,10.831,3.5
2025-12-26,R20,105.197,103.911,146.858,3.0
2025-12-26,R30,238.177,223.066,272.147,30.8
2025-12-26,R40,24.742,23.835,25.732,47.8
2025-12-26,R50,47.534,45.303,50.269,44.9
2026-01-02,NUS,419.056,413.298,485.459,8.0
2026-01-02,R10,6.885,7.103,10.323,-6.8
2026-01-02,R20,105.198,103.24,146.489,4.5
2026-01-02,R30,235.616,220.327,258.63,39.9
2026-01-02,R40,24.408,23.223,25.714,47.6
2026-01-02,R50,46.95,46.212,48.064,39.8
2026-01-09,NUS,422.447,412.68,486.563,13.2
2026-01-09,R10,7.06,6.724,11.64,6.8
2026-01-09,R20,106.631,102.283,144.059,10.4
2026-01-09,R30,237.779,220.327,263.05,40.8
2026-01-09,R40,24.527,23.223,25.714,52.3
2026-01-09,R50,46.45,46.212,48.797,9.2
2026-01-16,NUS,426.049,411.663,486.563,19.2
2026-01-16,R10,6.84,6.724,11.64,2.4
2026-01-16,R20,108.512,102.283,139.652,16.7
2026-01-16,R30,238.044,222.516,263.05,38.3
2026-01-16,R40,24.756,23.184,25.131,80.7
2026-01-16,R50,47.898,46.675,48.953,53.7
2026-01-23,NUS,423.754,411.663,476.653,18.6
2026-01-23,R10,7.274,6.893,11.3,8.6
2026-01-23,R20,108.036,102.56,136.977,15.9
2026-01-23,R30,237.891,222.172,256.623,45.6
2026-01-23,R40,23.712,23.184,25.053,28.3
2026-01-23,R50,46.841,46.675,49.91,5.1
2026-01-30,NUS,420.299,410.387,475.659,15.2
2026-01-30,R10,7.166,7.015,11.125,3.7
2026-01-30,R20,105.757,102.791,135.522,9.1
2026-01-30,R30,236.562,220.652,255.583,45.5
2026-01-30,R40,23.724,23.425,25.008,18.9
2026-01-30,R50,47.09,45.457,50.203,34.4
2026-02-06,NUS,428.829,410.387,471.394,30.2
2026-02-06,R10,7.949,6.889,10.153,32.5
2026-02-06,R20,106.469,102.709,134.589,11.8
2026-02-06,R30,242.4,220.652,263.081,51.3
2026-02-06,R40,23.938,23.452,24.841,35.0
2026-02-06,R50,48.073,45.457,50.203,55.1
2026-02-13,NUS,419.815,411.508,479.041,12.3
2026-02-13,R10,7.457,6.889,10.153,17.4
2026-02-13,R20,106.512,102.709,133.989,12.2
2026-02-13,R30,234.299,224.809,267.926,22.0
2026-02-13,R40,23.895,23.04,25.249,38.7
2026-02-13,R50,47.652,46.6,50.715,25.6
2026-02-20,NUS,435.804,413.425,484.605,31.4
2026-02-20,R10,8.31,6.906,8.851,72.2
2026-02-20,R20,107.242,101.872,135.062,16.2
2026-02-20,R30,248.22,229.772,267.926,48.4
2026-02-20,R40,24.018,22.93,25.249,46.9
2026-02-20,R50,48.014,46.6,52.086,25.8
2026-02-27,NUS,439.279,411.562,498.403,31.9
2026-02-27,R10,9.081,6.655,8.851,110.5
2026-02-27,R20,108.282,100.834,135.062,21.8
2026-02-27,R30,250.446,229.255,282.92,39.5
2026-02-27,R40,24.424,22.513,25.179,71.7
2026-02-27,R50,47.047,46.52,52.086,9.5
2026-03-06,NUS,443.103,411.562,500.799,35.3
2026-03-06,R10,8.039,6.565,8.606,72.2
2026-03-06,R20,109.038,100.834,133.774,24.9
2026-03-06,R30,257.352,229.255,288.181,47.7
2026-03-06,R40,24.463,22.513,25.805,59.2
2026-03-06,R50,44.212,45.639,50.928,-27.0
2026-03-13,NUS,449.259,413.399,502.711,40.2
2026-03-13,R10,8.355,6.53,8.717,83.4
2026-03-13,R20,109.954,101.01,132.155,28.7
2026-03-13,R30,260.245,228.052,293.566,49.1
2026-03-13,R40,25.155,22.155,26.303,72.3
2026-03-13,R50,45.55,45.639,51.096,-1.6
2026-03-20,NUS,456.185,409.95,502.711,49.8
2026-03-20,R10,8.683,6.53,8.756,96.7
2026-03-20,R20,112.451,102.399,130.86,35.3
