date,duoarea,value_mmbbl
2019-09-13,R20,34.62
2019-09-13,R30,40.536
2019-09-13,R40,4.365
2019-09-13,R50,12.44
2019-09-20,NUS,133.685
2019-09-20,R10,41.739
2019-09-20,R20,31.879
2019-09-20,R30,42.742
2019-09-20,R40,4.135
2019-09-20,R50,13.187
2019-09-27,NUS,131.267
2019-09-27,R10,40.434
2019-09-27,R20,31.944
2019-09-27,R30,41.863
2019-09-27,R40,3.934
2019-09-27,R50,13.09
2019-10-04,NUS,127.324
2019-10-04,R10,38.569
2019-10-04,R20,31.262
2019-10-04,R30,41.106
2019-10-04,R40,4.085
2019-10-04,R50,12.304
2019-10-11,NUS,123.501
2019-10-11,R10,37.331
2019-10-11,R20,30.091
2019-10-11,R30,40.492
2019-10-11,R40,4.015
2019-10-11,R50,11.572
2019-10-18,NUS,120.786
2019-10-18,R10,36.131
2019-10-18,R20,29.324
2019-10-18,R30,40.281
2019-10-18,R40,3.753
2019-10-18,R50,11.298
2019-10-25,NUS,119.754
2019-10-25,R10,33.952
2019-10-25,R20,27.938
2019-10-25,R30,43.614
2019-10-25,R40,3.497
2019-10-25,R50,10.753
2019-11-01,NUS,119.132
2019-11-01,R10,36.582
2019-11-01,R20,26.635
2019-11-01,R30,41.833
2019-11-01,R40,3.187
2019-11-01,R50,10.899
2019-11-08,NUS,116.655
2019-11-08,R10,37.695
2019-11-08,R20,24.844
2019-11-08,R30,40.14
2019-11-08,R40,3.002
2019-11-08,R50,10.973
2019-11-15,NUS,115.681
2019-11-15,R10,36.218
2019-11-15,R20,24.614
2019-11-15,R30,40.664
2019-11-15,R40,3.086
2019-11-15,R50,11.099
2019-11-22,NUS,116.406
2019-11-22,R10,38.324
2019-11-22,R20,24.254
2019-11-22,R30,39.305
2019-11-22,R40,3.229
2019-11-22,R50,11.296
2019-11-29,NUS,119.469
2019-11-29,R10,39.238
2019-11-29,R20,25.158
2019-11-29,R30,39.308
2019-11-29,R40,3.825
2019-11-29,R50,11.941
2019-12-06,NUS,123.587
2019-12-06,R10,41.089
2019-12-06,R20,26.437
2019-12-06,R30,39.45
2019-12-06,R40,4.178
2019-12-06,R50,12.436
2019-12-13,NUS,125.096
2019-12-13,R10,42.64
2019-12-13,R20,26.713
2019-12-13,R30,38.768
2019-12-13,R40,4.153
2019-12-13,R50,12.822
2019-12-20,NUS,124.944
2019-12-20,R10,39.39
2019-12-20,R20,26.638
2019-12-20,R30,41.814
2019-12-20,R40,4.384
2019-12-20,R50,12.718
2019-12-27,NUS,133.72
2019-12-27,R10,43.296
2019-12-27,R20,29.994
2019-12-27,R30,41.69
2019-12-27,R40,4.485
2019-12-27,R50,14.254
2020-01-03,NUS,139.05
2020-01-03,R10,42.904
2020-01-03,R20,32.449
2020-01-03,R30,44.847
2020-01-03,R40,4.661
2020-01-03,R50,14.19
2020-01-10,NUS,147.221
2020-01-10,R10,46.762
2020-01-10,R20,34.073
2020-01-10,R30,46.823
2020-01-10,R40,4.674
2020-01-10,R50,14.89
2020-01-17,NUS,146.036
2020-01-17,R10,46.895
2020-01-17,R20,33.92
2020-01-17,R30,46.894
2020-01-17,R40,4.277
2020-01-17,R50,14.049
2020-01-24,NUS,144.747
2020-01-24,R10,44.126
2020-01-24,R20,33.569
2020-01-24,R30,48.877
2020-01-24,R40,4.266
2020-01-24,R50,13.909
2020-01-31,NUS,143.235
2020-01-31,R10,43.128
2020-01-31,R20,33.981
2020-01-31,R30,48.588
