date,duoarea,value_mmbbl,seasonal_lo,seasonal_hi,pct_of_range
2025-08-22,R50,11.037,10.198,13.432,25.9
2025-08-29,NUS,115.923,111.706,179.195,6.2
2025-08-29,R10,28.734,27.725,64.961,2.7
2025-08-29,R20,28.176,27.023,34.853,14.7
2025-08-29,R30,44.003,40.271,62.396,16.9
2025-08-29,R40,3.284,3.412,4.018,-21.1
2025-08-29,R50,11.725,10.134,13.432,48.2
2025-09-05,NUS,120.638,111.801,179.306,13.1
2025-09-05,R10,30.255,28.068,65.365,5.9
2025-09-05,R20,30.615,27.023,34.853,45.9
2025-09-05,R30,44.165,40.271,61.988,17.9
2025-09-05,R40,3.464,3.417,4.345,5.1
2025-09-05,R50,12.139,10.134,13.457,60.3
2025-09-12,NUS,124.684,116.02,179.306,13.7
2025-09-12,R10,31.267,27.917,65.365,8.9
2025-09-12,R20,30.585,27.541,34.853,41.6
2025-09-12,R30,47.026,40.632,61.529,30.6
2025-09-12,R40,3.654,3.478,4.345,20.3
2025-09-12,R50,12.152,10.436,13.457,56.8
2025-09-19,NUS,122.999,114.359,179.306,13.3
2025-09-19,R10,30.414,27.21,65.365,8.4
2025-09-19,R20,30.852,27.137,34.61,49.7
2025-09-19,R30,45.218,40.302,61.529,23.2
2025-09-19,R40,3.778,3.478,4.345,34.6
2025-09-19,R50,12.737,11.342,13.457,66.0
2025-09-26,NUS,123.577,110.916,175.942,19.5
2025-09-26,R10,30.707,25.513,63.753,13.6
2025-09-26,R20,31.352,27.137,33.409,67.2
2025-09-26,R30,44.914,40.302,61.523,21.7
2025-09-26,R40,3.73,3.302,4.15,50.5
2025-09-26,R50,12.875,11.097,13.108,88.4
2025-10-03,NUS,121.559,106.063,172.758,23.2
2025-10-03,R10,30.187,25.513,63.145,12.4
2025-10-03,R20,30.429,25.622,32.795,67.0
2025-10-03,R30,44.806,40.809,60.271,20.5
2025-10-03,R40,3.677,3.169,4.11,54.0
2025-10-03,R50,12.459,10.702,13.167,71.3
2025-10-10,NUS,117.03,106.063,171.796,16.7
2025-10-10,R10,27.688,25.55,63.145,5.7
2025-10-10,R20,28.365,25.469,31.896,45.1
2025-10-10,R30,44.688,40.593,60.014,21.1
2025-10-10,R40,3.564,2.86,4.066,58.4
2025-10-10,R50,12.724,10.28,13.167,84.7
2025-10-17,NUS,115.551,106.187,164.551,16.0
2025-10-17,R10,26.83,23.956,63.145,7.3
2025-10-17,R20,27.293,24.629,31.044,41.5
2025-10-17,R30,45.086,40.008,54.509,35.0
2025-10-17,R40,3.604,2.86,3.922,70.1
2025-10-17,R50,12.738,10.28,13.167,85.1
2025-10-24,NUS,112.189,106.357,160.719,10.7
2025-10-24,R10,25.461,23.956,63.875,3.8
2025-10-24,R20,25.036,24.629,30.048,7.5
2025-10-24,R30,45.663,40.008,54.509,39.0
2025-10-24,R40,3.543,3.102,3.922,53.8
2025-10-24,R50,12.486,10.431,12.883,83.8
2025-10-31,NUS,111.546,106.263,156.228,10.6
2025-10-31,R10,26.369,24.801,63.875,4.0
2025-10-31,R20,23.806,24.528,29.374,-14.9
2025-10-31,R30,45.675,40.788,51.401,46.0
2025-10-31,R40,3.455,2.909,3.807,60.8
2025-10-31,R50,12.242,10.431,12.54,85.9
2025-11-07,NUS,110.909,106.263,154.644,9.6
2025-11-07,R10,27.098,24.874,63.875,5.7
2025-11-07,R20,23.574,24.347,29.117,-16.2
2025-11-07,R30,44.875,40.557,48.286,55.9
2025-11-07,R40,3.632,2.909,3.807,80.5
2025-11-07,R50,11.73,10.645,12.224,68.7
2025-11-14,NUS,111.08,105.561,149.289,12.6
2025-11-14,R10,26.485,24.283,61.604,5.9
2025-11-14,R20,23.185,24.003,27.471,-23.6
2025-11-14,R30,46.477,40.557,47.258,88.3
2025-11-14,R40,3.713,2.909,3.799,90.3
2025-11-14,R50,11.22,10.745,12.02,37.3
2025-11-21,NUS,112.227,105.561,145.87,16.5
2025-11-21,R10,27.901,24.283,59.774,10.2
2025-11-21,R20,23.354,24.003,26.554,-25.4
2025-11-21,R30,46.186,40.337,48.017,76.2
2025-11-21,R40,3.571,3.08,3.917,58.7
2025-11-21,R50,11.215,11.134,12.305,6.9
2025-11-28,NUS,114.286,110.778,151.092,8.7
2025-11-28,R10,28.774,26.31,60.38,7.2
2025-11-28,R20,24.936,24.003,27.444,27.1
2025-11-28,R30,45.436,38.958,49.742,60.1
2025-11-28,R40,3.642,3.346,4.08,40.3
2025-11-28,R50,11.498,11.318,12.875,11.6
2025-12-05,NUS,116.788,112.045,151.259,12.1
2025-12-05,R10,28.69,26.31,60.938,6.9
2025-12-05,R20,26.86,24.141,28.324,65.0
2025-12-05,R30,45.713,38.88,49.75,62.9
2025-12-05,R40,4.024,3.541,4.123,83.0
2025-12-05,R50,11.501,11.358,13.043,8.5
2025-12-12,NUS,118.5,113.539,151.259,13.2
2025-12-12,R10,30.44,27.184,60.938,9.6
2025-12-12,R20,26.068,23.578,28.324,52.5
2025-12-12,R30,46.377,38.458,49.75,70.1
2025-12-12,R40,4.128,3.402,4.384,73.9
2025-12-12,R50,11.487,11.354,13.043,7.9
2025-12-19,NUS,118.702,115.024,152.029,9.9
2025-12-19,R10,28.478,28.607,61.14,-0.4
2025-12-19,R20,25.909,23.578,28.618,46.2
2025-12-19,R30,48.505,38.277,49.75,89.1
2025-12-19,R40,3.874,3.369,4.384,49.8
2025-12-19,R50,11.937,11.354,13.485,27.4
2025-12-26,NUS,123.679,115.765,152.029,21.8
2025-12-26,R10,31.087,30.204,61.14,2.9
2025-12-26,R20,27.257,23.578,32.186,42.7
2025-12-26,R30,49.685,38.277,49.582,100.9
2025-12-26,R40,4.031,3.369,4.735,48.5
2025-12-26,R50,11.62,11.475,13.485,7.2
2026-01-02,NUS,129.273,117.716,163.205,25.4
2026-01-02,R10,32.906,34.332,62.413,-5.1
2026-01-02,R20,29.413,27.343,34.097,30.6
2026-01-02,R30,50.117,37.706,52.196,85.7
2026-01-02,R40,4.416,3.725,5.083,50.9
2026-01-02,R50,12.421,12.471,15.433,-1.7
2026-01-09,NUS,129.244,115.777,163.662,28.1
2026-01-09,R10,32.161,32.687,62.413,-1.8
2026-01-09,R20,30.739,27.799,35.427,38.5
2026-01-09,R30,49.937,37.706,53.827,75.9
2026-01-09,R40,4.453,3.647,5.083,56.1
2026-01-09,R50,11.954,12.352,15.433,-12.9
2026-01-16,NUS,132.592,115.27,163.662,35.8
2026-01-16,R10,33.787,31.989,60.408,6.3
2026-01-16,R20,32.158,27.799,35.427,57.1
2026-01-16,R30,50.693,38.236,55.158,73.6
2026-01-16,R40,4.065,3.647,5.002,30.8
2026-01-16,R50,11.889,11.655,14.9,7.2
2026-01-23,NUS,132.921,115.27,162.847,37.1
2026-01-23,R10,34.486,31.76,58.622,10.1
2026-01-23,R20,32.003,27.587,34.934,60.1
2026-01-23,R30,50.758,38.419,56.456,68.4
2026-01-23,R40,3.997,3.663,4.62,34.9
2026-01-23,R50,11.677,11.535,14.9,4.2
2026-01-30,NUS,127.368,117.59,162.838,21.6
2026-01-30,R10,31.287,29.902,57.85,5.0
2026-01-30,R20,30.752,27.587,34.934,43.1
2026-01-30,R30,49.394,38.551,57.167,58.2
2026-01-30,R40,3.985,3.67,4.486,38.6
2026-01-30,R50,11.95,11.535,14.284,15.1
2026-02-06,NUS,124.665,118.48,161.106,14.5
2026-02-06,R10,29.141,29.902,55.89,-2.9
2026-02-06,R20,29.321,28.146,34.401,18.8
2026-02-06,R30,49.975,37.615,57.167,63.2
2026-02-06,R40,4.284,3.801,4.365,85.6
2026-02-06,R50,11.944,11.731,14.127,8.9
2026-02-13,NUS,120.099,116.564,157.684,8.6
2026-02-13,R10,25.973,28.505,54.313,-9.8
