date,duoarea,value_mmbbl
2019-11-15,R20,131.497
2019-11-15,R30,231.817
2019-11-15,R40,24.784
2019-11-15,R50,51.605
2019-11-22,NUS,451.952
2019-11-22,R10,11.313
2019-11-22,R20,130.901
2019-11-22,R30,232.564
2019-11-22,R40,24.364
2019-11-22,R50,52.809
2019-11-29,NUS,447.096
2019-11-29,R10,11.015
2019-11-29,R20,131.174
2019-11-29,R30,229.842
2019-11-29,R40,23.829
2019-11-29,R50,51.237
2019-12-06,NUS,447.918
2019-12-06,R10,10.114
2019-12-06,R20,126.533
2019-12-06,R30,235.275
2019-12-06,R40,23.971
2019-12-06,R50,52.023
2019-12-13,NUS,446.833
2019-12-13,R10,11.131
2019-12-13,R20,127.37
2019-12-13,R30,232.287
2019-12-13,R40,24.066
2019-12-13,R50,51.98
2019-12-20,NUS,441.359
2019-12-20,R10,9.958
2019-12-20,R20,126.294
2019-12-20,R30,230.365
2019-12-20,R40,23.432
2019-12-20,R50,51.31
2019-12-27,NUS,429.896
2019-12-27,R10,9.833
2019-12-27,R20,125.86
2019-12-27,R30,219.267
2019-12-27,R40,22.923
2019-12-27,R50,52.012
2020-01-03,NUS,431.06
2020-01-03,R10,9.347
2020-01-03,R20,126.477
2020-01-03,R30,221.402
2020-01-03,R40,22.826
2020-01-03,R50,51.007
2020-01-10,NUS,428.511
2020-01-10,R10,9.875
2020-01-10,R20,126.223
2020-01-10,R30,218.434
2020-01-10,R40,21.901
2020-01-10,R50,52.077
2020-01-17,NUS,428.106
2020-01-17,R10,10.325
2020-01-17,R20,125.893
2020-01-17,R30,219.249
2020-01-17,R40,21.541
2020-01-17,R50,51.098
2020-01-24,NUS,431.654
2020-01-24,R10,10.461
2020-01-24,R20,125.757
2020-01-24,R30,221.603
2020-01-24,R40,21.94
2020-01-24,R50,51.892
2020-01-31,NUS,435.009
2020-01-31,R10,9.541
2020-01-31,R20,126.855
2020-01-31,R30,226.521
2020-01-31,R40,21.763
2020-01-31,R50,50.329
2020-02-07,NUS,442.468
2020-02-07,R10,10.912
2020-02-07,R20,127.718
2020-02-07,R30,229.256
2020-02-07,R40,21.56
2020-02-07,R50,53.022
2020-02-14,NUS,442.883
2020-02-14,R10,10.192
2020-02-14,R20,126.603
2020-02-14,R30,230.657
2020-02-14,R40,20.805
2020-02-14,R50,54.625
2020-02-21,NUS,443.335
2020-02-21,R10,10.524
2020-02-21,R20,126.753
2020-02-21,R30,232.618
2020-02-21,R40,20.385
2020-02-21,R50,53.055
2020-02-28,NUS,444.119
2020-02-28,R10,10.26
2020-02-28,R20,124.256
2020-02-28,R30,236.084
2020-02-28,R40,20.528
2020-02-28,R50,52.992
2020-03-06,NUS,451.783
2020-03-06,R10,11.22
2020-03-06,R20,126.666
2020-03-06,R30,242.203
2020-03-06,R40,20.483
2020-03-06,R50,51.21
2020-03-13,NUS,453.737
2020-03-13,R10,11.115
2020-03-13,R20,127.402
2020-03-13,R30,243.926
2020-03-13,R40,20.564
2020-03-13,R50,50.729
2020-03-20,NUS,455.36
2020-03-20,R10,11.347
2020-03-20,R20,129.723
2020-03-20,R30,241.31
2020-03-20,R40,21.271
2020-03-20,R50,51.71
2020-03-27,NUS,469.193
2020-03-27,R10,11.47
2020-03-27,R20,134.399
2020-03-27,R30,247.786
2020-03-27,R40,21.826
2020-03-27,R50,53.713
2020-04-03,NUS,484.37
2020-04-03,R10,11.971
2020-04-03,R20,141.755
2020-04-03,R30,253.122
2020-04-03,R40,22.844
2020-04-03,R50,54.679
2020-04-10,NUS,503.618
2020-04-10,R10,11.289
2020-04-10,R20,147.405
2020-04-10,R30,263.36
2020-04-10,R40,24.127
2020-04-10,R50,57.437
2020-04-17,NUS,518.64
2020-04-17,R10,11.564
2020-04-17,R20,152.242
2020-04-17,R30,273.238
2020-04-17,R40,24.642
2020-04-17,R50,56.954
2020-04-24,NUS,527.631
2020-04-24,R10,11.13
2020-04-24,R20,155.57
2020-04-24,R30,280.353
2020-04-24,R40,24.374
2020-04-24,R50,56.204
2020-05-01,NUS,532.221
2020-05-01,R10,12.058
2020-05-01,R20,156.707
2020-05-01,R30,282.67
2020-05-01,R40,24.725
2020-05-01,R50,56.062
2020-05-08,NUS,531.476
2020-05-08,R10,13.243
2020-05-08,R20,153.336
2020-05-08,R30,282.453
2020-05-08,R40,24.216
2020-05-08,R50,58.228
2020-05-15,NUS,526.494
2020-05-15,R10,12.306
2020-05-15,R20,147.493
2020-05-15,R30,284.901
2020-05-15,R40,24.67
2020-05-15,R50,57.124
2020-05-22,NUS,534.422
2020-05-22,R10,12.559
2020-05-22,R20,143.533
2020-05-22,R30,295.15
2020-05-22,R40,25.027
2020-05-22,R50,58.153
2020-05-29,NUS,532.345
2020-05-29,R10,12.891
2020-05-29,R20,141.797
2020-05-29,R30,296.81
2020-05-29,R40,24.532
2020-05-29,R50,56.316
2020-06-05,NUS,538.065
2020-06-05,R10,12.494
2020-06-05,R20,140.744
2020-06-05,R30,303.681
2020-06-05,R40,24.709
2020-06-05,R50,56.436
2020-06-12,NUS,539.28
2020-06-12,R10,12.36
2020-06-12,R20,137.978
2020-06-12,R30,307.489
2020-06-12,R40,25.608
2020-06-12,R50,55.845
2020-06-19,NUS,540.722
2020-06-19,R10,12.525
2020-06-19,R20,137.942
2020-06-19,R30,307.996
2020-06-19,R40,25.508
2020-06-19,R50,56.751
2020-06-26,NUS,533.527
2020-06-26,R10,12.504
2020-06-26,R20,136.846
2020-06-26,R30,303.967
2020-06-26,R40,25.585
2020-06-26,R50,54.625
2020-07-03,NUS,539.181
2020-07-03,R10,12.069
2020-07-03,R20,136.255
2020-07-03,R30,309.016
2020-07-03,R40,25.627
2020-07-03,R50,56.214
2020-07-10,NUS,531.688
2020-07-10,R10,13.064
2020-07-10,R20,137.174
2020-07-10,R30,301.119
2020-07-10,R40,25.581
2020-07-10,R50,54.75
2020-07-17,NUS,536.58
2020-07-17,R10,13.22
2020-07-17,R20,137.504
2020-07-17,R30,305.969
2020-07-17,R40,25.412
2020-07-17,R50,54.476
2020-07-24,NUS,525.969
2020-07-24,R10,12.669
2020-07-24,R20,139.735
2020-07-24,R30,295.507
2020-07-24,R40,25.304
2020-07-24,R50,52.754
2020-07-31,NUS,518.596
2020-07-31,R10,11.975
2020-07-31,R20,140.217
2020-07-31,R30,288.121
2020-07-31,R40,25.015
2020-07-31,R50,53.268
2020-08-07,NUS,514.084
2020-08-07,R10,11.038
2020-08-07,R20,142.39
2020-08-07,R30,281.416
2020-08-07,R40,25.364
2020-08-07,R50,53.875
2020-08-14,NUS,512.452
2020-08-14,R10,11.765
2020-08-14,R20,141.833
2020-08-14,R30,279.175
2020-08-14,R40,25.261
2020-08-14,R50,54.417
2020-08-21,NUS,507.763
2020-08-21,R10,11.54
2020-08-21,R20,141.323
2020-08-21,R30,276.721
2020-08-21,R40,25.265
2020-08-21,R50,52.915
2020-08-28,NUS,498.401
2020-08-28,R10,12.019
2020-08-28,R20,139.908
2020-08-28,R30,268.661
2020-08-28,R40,24.587
2020-08-28,R50,53.226
2020-09-04,NUS,500.434
2020-09-04,R10,12.156
2020-09-04,R20,141.098
2020-09-04,R30,269.394
2020-09-04,R40,23.42
2020-09-04,R50,54.366
2020-09-11,NUS,496.045
2020-09-11,R10,12.075
2020-09-11,R20,140.507
2020-09-11,R30,266.618
2020-09-11,R40,23.774
2020-09-11,R50,53.069
2020-09-18,NUS,494.406
2020-09-18,R10,11.001
2020-09-18,R20,140.534
2020-09-18,R30,265.0
2020-09-18,R40,23.546
2020-09-18,R50,54.325
2020-09-25,NUS,492.426
2020-09-25,R10,10.747
2020-09-25,R20,143.316
2020-09-25,R30,263.512
2020-09-25,R40,23.087
2020-09-25,R50,51.764
2020-10-02,NUS,492.927
2020-10-02,R10,11.434
2020-10-02,R20,142.731
2020-10-02,R30,261.453
2020-10-02,R40,23.351
2020-10-02,R50,53.957
2020-10-09,NUS,489.109
2020-10-09,R10,11.919
2020-10-09,R20,144.749
2020-10-09,R30,256.333
2020-10-09,R40,23.738
2020-10-09,R50,52.369
2020-10-16,NUS,488.107
2020-10-16,R10,10.34
2020-10-16,R20,146.848
2020-10-16,R30,255.886
2020-10-16,R40,23.141
2020-10-16,R50,51.892
2020-10-23,NUS,492.427
2020-10-23,R10,10.737
2020-10-23,R20,145.956
2020-10-23,R30,261.179
2020-10-23,R40,23.007
2020-10-23,R50,51.548
2020-10-30,NUS,484.429
2020-10-30,R10,10.358
2020-10-30,R20,146.595
2020-10-30,R30,253.394
2020-10-30,R40,22.935
2020-10-30,R50,51.147
2020-11-06,NUS,488.706
2020-11-06,R10,10.01
2020-11-06,R20,146.038
2020-11-06,R30,258.496
2020-11-06,R40,24.622
2020-11-06,R50,49.54
2020-11-13,NUS,489.475
2020-11-13,R10,10.274
2020-11-13,R20,148.156
2020-11-13,R30,260.801
2020-11-13,R40,24.504
2020-11-13,R50,45.74
2020-11-20,NUS,488.721
2020-11-20,R10,10.131
2020-11-20,R20,146.251
2020-11-20,R30,262.822
2020-11-20,R40,24.272
2020-11-20,R50,45.244
2020-11-27,NUS,488.042
2020-11-27,R10,10.489
2020-11-27,R20,146.859
2020-11-27,R30,262.17
2020-11-27,R40,23.964
2020-11-27,R50,44.561
2020-12-04,NUS,503.231
2020-12-04,R10,10.611
2020-12-04,R20,146.74
2020-12-04,R30,273.963
2020-12-04,R40,24.165
2020-12-04,R50,47.753
2020-12-11,NUS,500.096
2020-12-11,R10,11.553
2020-12-11,R20,146.377
2020-12-11,R30,270.993
2020-12-11,R40,24.464
2020-12-11,R50,46.709
2020-12-18,NUS,499.534
2020-12-18,R10,10.831
2020-12-18,R20,146.41
2020-12-18,R30,272.147
2020-12-18,R40,24.479
2020-12-18,R50,45.667
2020-12-25,NUS,493.469
2020-12-25,R10,10.627
2020-12-25,R20,146.858
2020-12-25,R30,264.855
2020-12-25,R40,24.481
2020-12-25,R50,46.648
2021-01-01,NUS,485.459
2021-01-01,R10,10.323
2021-01-01,R20,146.489
2021-01-01,R30,258.63
2021-01-01,R40,23.728
2021-01-01,R50,46.288
2021-01-08,NUS,482.211
2021-01-08,R10,10.228
2021-01-08,R20,144.059
2021-01-08,R30,257.456
2021-01-08,R40,24.257
2021-01-08,R50,46.212
2021-01-15,NUS,486.563
2021-01-15,R10,11.64
2021-01-15,R20,139.652
2021-01-15,R30,263.05
2021-01-15,R40,24.206
2021-01-15,R50,48.015
2021-01-22,NUS,476.653
2021-01-22,R10,11.3
2021-01-22,R20,136.977
2021-01-22,R30,256.623
2021-01-22,R40,24.28
2021-01-22,R50,47.473
2021-01-29,NUS,475.659
